currentTs;total_time;user_time;sys_time;virtual_size;in_octets;out_octets
1527468936782;0;0;0;2854912;61724391;91741962
1527468936882;10;7;1;8237056;61724391;91741962
1527468936982;20;15;3;8966144;61724391;91741962
1527468937082;30;25;3;9228288;61724391;91741962
1527468937182;40;35;3;10465280;61724391;91741962
1527468937282;50;45;3;10465280;61724391;91741962
1527468937382;60;55;3;13725696;61724391;91741962
1527468937482;70;65;3;14680064;61724391;91741962
1527468937582;80;75;3;15339520;61724391;91741962
1527468937682;90;83;5;16224256;61724391;91741962
1527468937782;100;92;6;20094976;61724391;91741962
1527468937882;110;101;7;21258240;61724391;91741962
1527468937983;120;109;9;26865664;61724391;91741962
1527468938084;130;118;10;28991488;61724391;91741962
1527468938184;140;127;11;31301632;61724391;91741962
1527468938284;150;137;11;32120832;61724391;91741962
1527468938384;160;144;14;32448512;61724391;91741962
1527468938484;170;153;14;33181696;61724391;91741962
1527468938584;180;163;14;33525760;61724391;91741962
1527468938684;190;173;14;33632256;61724391;91741962
1527468938784;200;183;14;34156544;61724391;91741962
1527468938884;210;193;14;34156544;61724391;91741962
1527468938984;220;203;14;34668544;61724391;91741962
1527468939084;230;213;14;35328000;61724391;91741962
1527468939184;240;223;14;35590144;61724391;91741962
1527468939284;250;232;15;35999744;61724391;91741962
1527468939384;260;242;15;36524032;61724391;91741962
1527468939484;270;251;16;36929536;61724391;91741962
1527468939584;280;260;17;37736448;61724391;91741962
1527468939684;290;270;17;38182912;61724391;91741962
1527468939784;300;280;17;38182912;61724391;91741962
1527468939884;310;290;17;39399424;61724391;91741962
1527468939984;320;300;17;39661568;61724391;91741962
1527468940084;330;309;17;40054784;61724840;91742737
1527468940184;340;319;17;40316928;61724840;91742737
1527468940285;350;329;17;40316928;61725289;91743514
1527468940386;360;339;17;40316928;61725738;91744290
1527468940486;371;350;17;40316928;61725738;91744290
1527468940586;381;360;17;40316928;61726187;91745066
1527468940686;391;369;17;40316928;61726636;91745839
1527468940786;401;379;17;40316928;61726636;91745839
1527468940886;411;389;17;40316928;61727085;91746610
1527468940986;421;399;17;40316928;61727534;91747383
1527468941086;431;409;17;40316928;61727534;91747383
1527468941186;441;418;17;40316928;61727983;91748159
1527468941286;451;428;17;40316928;61727983;91748159
1527468941386;461;438;17;40316928;61728432;91748931
1527468941486;471;448;17;40316928;61728432;91748931
1527468941586;481;457;17;40316928;61728881;91749703
1527468941686;491;467;17;40316928;61729330;91750472
1527468941786;501;477;17;40316928;61729330;91750472
1527468941886;511;487;17;40316928;61729779;91751245
1527468941986;521;497;17;40316928;61730228;91752018
1527468942086;531;507;17;40316928;61730228;91752018
1527468942186;541;516;18;40316928;61730677;91752791
1527468942286;551;525;18;40316928;61731126;91753563
1527468942386;560;535;18;40316928;61731126;91753563
1527468942486;570;545;18;40316928;61731575;91754335
1527468942586;580;555;18;40316928;61732024;91755103
1527468942686;590;565;18;40316928;61732024;91755103
1527468942786;600;575;18;40316928;61732473;91755875
1527468942886;610;584;18;40316928;61732922;91756647
1527468942986;620;594;18;40316928;61732922;91756647
1527468943086;630;604;18;40316928;61733371;91757416
1527468943186;640;614;18;40316928;61733820;91758187
1527468943286;650;624;18;40316928;61733820;91758187
1527468943386;660;634;18;40316928;61734269;91758957
1527468943486;670;644;18;40316928;61734718;91759729
1527468943586;680;654;18;40316928;61734718;91759729
1527468943686;690;663;18;40316928;61735167;91760501
1527468943786;700;674;18;40316928;61735387;91761116
1527468943886;710;683;18;40316928;61735616;91761272
1527468943987;721;694;18;40316928;61736065;91762044
1527468944088;731;704;18;40316928;61736065;91762044
1527468944188;741;714;18;40316928;61736514;91762817
1527468944288;751;723;18;40316928;61736963;91763589
1527468944388;761;733;18;40316928;61736963;91763589
1527468944488;771;742;19;40316928;61737412;91764361
1527468944588;781;752;19;40316928;61737861;91765135
1527468944688;791;762;19;40316928;61737861;91765135
1527468944788;801;772;19;40316928;61738310;91765908
1527468944888;811;781;19;40316928;61738855;91766681
1527468944988;821;791;19;40316928;61738855;91766681
1527468945088;831;801;19;40316928;61739304;91767452
1527468945188;841;811;19;40316928;61739753;91768225
1527468945288;851;821;19;40316928;61739753;91768225
1527468945388;861;831;19;40316928;61740202;91768996
1527468945488;871;840;19;40316928;61740651;91769767
1527468945588;881;850;19;40316928;61740651;91769767
1527468945689;891;860;19;40316928;61741100;91770540
1527468945789;901;870;19;40316928;61741595;91771313
1527468945889;911;880;19;40316928;61741595;91771313
1527468945989;921;890;19;40316928;61742044;91772085
1527468946089;931;900;19;40316928;61742389;91772753
1527468946189;941;910;19;40316928;61742493;91772857
1527468946289;951;919;19;40316928;61742942;91773630
1527468946389;961;929;19;40316928;61742942;91773630
1527468946489;971;939;19;40316928;61743391;91774403
1527468946589;981;949;19;40316928;61743840;91775174
1527468946689;991;958;20;40316928;61743840;91775174
1527468946789;1001;968;20;40316928;61744289;91775948
1527468946889;1011;978;20;40316928;61744738;91776722
1527468946989;1021;988;20;40316928;61744738;91776722
1527468947089;1031;997;20;40316928;61745187;91777493
1527468947190;1041;1007;20;40316928;61745636;91778265
1527468947290;1051;1017;20;40316928;61745636;91778265
1527468947390;1061;1027;20;40316928;61746085;91779036
1527468947490;1071;1037;20;40316928;61746534;91779809
1527468947590;1081;1047;20;40316928;61746534;91779809
1527468947690;1091;1056;20;40316928;61746983;91780581
1527468947790;1101;1066;20;40316928;61747432;91781354
1527468947890;1111;1076;20;40316928;61747432;91781354
1527468947990;1121;1086;20;40316928;61747881;91782126
1527468948090;1131;1095;21;40316928;61748330;91782899
1527468948190;1141;1105;21;40316928;61748330;91782899
1527468948290;1151;1115;21;40316928;61748779;91783671
1527468948390;1161;1124;21;40316928;61749228;91784443
1527468948490;1171;1134;21;40316928;61749228;91784443
1527468948591;1181;1144;21;40316928;61749677;91785215
1527468948691;1191;1154;21;40316928;61750022;91785884
1527468948791;1201;1164;21;40316928;61750126;91785988
1527468948891;1211;1174;21;40316928;61750575;91786761
1527468948991;1221;1184;21;40316928;61750575;91786761
1527468949091;1231;1193;21;40316928;61751024;91787533
1527468949191;1241;1203;21;40316928;61751473;91788304
1527468949291;1251;1213;21;40316928;61751473;91788304
1527468949391;1261;1223;21;40316928;61751922;91789074
1527468949491;1271;1233;21;40316928;61751922;91789074
1527468949591;1281;1243;21;40316928;61752371;91789847
1527468949691;1291;1252;22;40316928;61752820;91790620
1527468949791;1301;1262;22;40316928;61752820;91790620
1527468949891;1311;1271;23;40316928;61753269;91791392
1527468949992;1321;1280;23;40316928;61753718;91792164
1527468950093;1331;1290;23;40316928;61753718;91792164
1527468950193;1341;1300;23;40316928;61754167;91792936
1527468950293;1351;1310;23;40316928;61754564;91793656
1527468950393;1361;1320;23;40316928;61754616;91793708
1527468950493;1371;1330;23;40316928;61755065;91794481
1527468950593;1381;1340;23;40316928;61755285;91795097
1527468950693;1391;1350;23;40316928;61755514;91795253
1527468950793;1401;1358;24;40316928;61755963;91796026
1527468950893;1411;1368;24;40316928;61755963;91796026
1527468950993;1421;1378;24;40316928;61756412;91796796
1527468951093;1431;1388;24;40316928;61756861;91797567
1527468951193;1441;1398;24;40316928;61756861;91797567
1527468951293;1451;1408;24;40316928;61757310;91798341
1527468951393;1461;1418;24;40316928;61757759;91799115
1527468951494;1471;1428;24;40316928;61757759;91799115
1527468951594;1481;1437;24;40316928;61758208;91799888
1527468951694;1491;1447;24;40316928;61758657;91800661
1527468951794;1501;1457;24;40316928;61758657;91800661
1527468951894;1511;1467;24;40316928;61759106;91801434
1527468951994;1521;1477;24;40316928;61759555;91802208
1527468952094;1531;1487;24;40316928;61759555;91802208
1527468952194;1541;1497;24;40316928;61760004;91802981
1527468952294;1551;1505;25;40316928;61760453;91803754
1527468952394;1561;1515;25;40316928;61760453;91803754
1527468952494;1571;1524;25;40316928;61760902;91804527
1527468952594;1581;1535;25;40316928;61760902;91804587
1527468952694;1591;1544;25;40316928;61761351;91805298
1527468952794;1601;1554;25;40316928;61761800;91806072
1527468952894;1611;1564;25;40316928;61761800;91806072
1527468952995;1621;1573;25;40316928;61762249;91806845
1527468953095;1631;1583;25;40316928;61762698;91807618
1527468953195;1641;1593;25;40316928;61763086;91807618
1527468953296;1651;1603;25;40316928;61763535;91808390
1527468953397;1662;1614;25;40316928;61763984;91809163
1527468953497;1672;1624;25;40316928;61763984;91809163
1527468953597;1682;1633;26;40316928;61764433;91809936
1527468953697;1692;1642;26;40316928;61764882;91810711
1527468953797;1702;1652;26;40316928;61764882;91810711
1527468953897;1712;1662;26;40316928;61765331;91811483
1527468953997;1722;1672;26;40316928;61765780;91812257
1527468954097;1732;1682;26;40316928;61765780;91812257
1527468954197;1742;1692;26;40316928;61766229;91813029
1527468954297;1752;1702;26;40316928;61766678;91813802
1527468954397;1762;1712;26;40316928;61766678;91813802
1527468954497;1772;1721;26;40316928;61767127;91814571
