currentTs;total_time;user_time;sys_time;virtual_size;in_octets;out_octets
1527376705094;0;0;0;2850816;39050967;60121933
1527376705194;10;9;0;8175616;39050967;60121933
1527376705294;20;18;1;8966144;39050967;60121933
1527376705394;30;27;2;9502720;39050967;60121933
1527376705494;40;37;2;10465280;39050967;60121933
1527376705594;50;47;2;10465280;39050967;60121933
1527376705694;60;57;2;13721600;39050967;60121933
1527376705794;70;66;3;15175680;39050967;60121933
1527376705895;80;76;3;15699968;39050967;60121933
1527376705996;90;86;3;16289792;39050967;60121933
1527376706096;100;96;3;20307968;39050967;60121933
1527376706196;110;105;4;25808896;39050967;60121933
1527376706296;120;114;5;27185152;39050967;60121933
1527376706396;130;123;6;30855168;39050967;60121933
1527376706496;140;131;8;31645696;39050967;60121933
1527376706596;150;139;10;32219136;39050967;60121933
1527376706696;160;147;11;32841728;39050967;60121933
1527376706796;170;157;11;33177600;39050967;60121933
1527376706896;180;167;11;33521664;39050967;60121933
1527376706996;190;177;11;33628160;39050967;60121933
1527376707096;200;186;12;34152448;39050967;60121933
1527376707196;210;196;12;34152448;39050967;60121933
1527376707296;220;205;13;34926592;39050967;60121933
1527376707396;230;214;14;35328000;39050967;60121933
1527376707497;240;224;14;35737600;39050967;60121933
1527376707598;250;233;15;36261888;39050967;60121933
1527376707698;260;243;15;36524032;39050967;60121933
1527376707799;270;251;17;37339136;39050967;60121933
1527376707900;281;262;17;37736448;39050967;60121933
1527376708000;291;272;17;38182912;39050967;60121933
1527376708100;301;282;17;39399424;39050967;60121933
1527376708200;311;292;17;39661568;39050967;60121933
1527376708300;321;302;17;39661568;39050967;60121933
1527376708400;331;311;17;40054784;39052045;60123280
1527376708500;341;320;17;40316928;39052265;60124473
1527376708600;351;330;17;40316928;39053124;60124629
1527376708700;361;339;17;40316928;39054198;60125977
1527376708800;371;349;17;40316928;39054198;60125977
1527376708900;381;359;17;40316928;39055273;60127325
1527376709000;391;368;17;40316928;39056347;60128670
1527376709101;401;378;17;40316928;39056347;60128670
1527376709201;411;388;17;40316928;39057420;60130014
1527376709301;421;398;17;40316928;39058492;60131359
1527376709401;431;408;17;40316928;39058492;60131359
1527376709501;441;417;17;40316928;39059566;60132707
1527376709601;451;427;17;40316928;39059566;60132707
1527376709701;461;437;17;40316928;39060638;60134051
1527376709801;471;447;17;40316928;39060638;60134111
1527376709901;481;456;17;40316928;39061711;60135394
1527376710001;491;466;17;40316928;39062783;60136735
1527376710101;501;476;17;40316928;39062783;60136735
1527376710202;511;485;17;40316928;39063856;60138080
1527376710302;521;494;18;40316928;39064930;60139425
1527376710402;531;504;18;40316928;39064930;60139425
1527376710502;541;513;18;40316928;39066147;60140770
1527376710602;551;523;18;40316928;39067221;60142114
1527376710702;561;533;18;40316928;39067221;60142114
1527376710802;571;541;18;40316928;39068294;60143458
1527376710902;581;551;18;40316928;39068514;60144642
1527376711002;591;560;18;40316928;39069366;60144798
1527376711102;601;569;19;40316928;39070438;60146142
1527376711202;611;579;19;40316928;39070438;60146142
1527376711302;621;588;19;40316928;39071508;60147486
1527376711403;631;598;19;40316928;39072580;60148827
1527376711503;641;608;19;40316928;39072580;60148827
